Wallclock,Robot,State,Duration,From,To,TotalDistance,IdleTime,TotalTime
04:32:07.875369,MSR2,Swabbing,12.05767932209539,m43,m43,184.86722693766333,14103.702864995179,16339.933028848754
04:32:17.670339,MSR1,Move,2.7896296296296264,m13,m14,119.82701786111492,14826.437824202869,16340.459949305789
04:32:19.933048,MSR2,Move,2.7896296296296264,m43,m44,185.70411582655223,14103.702864995179,16342.722658478384
04:32:20.459968,MSR1,Calibrate,10.116489922743135,m14,m14,119.82701786111492,14826.437824202869,16350.576439228531
04:32:22.722677,MSR2,Calibrate,10.932770648176312,m44,m44,185.70411582655223,14103.702864995179,16353.65542912656
04:32:30.576458,MSR1,Wait,8.068965413737503,m14,m14,119.82701786111492,14834.506789616606,16358.645404642268
04:32:33.655448,MSR2,Wait,8.992440886818919,m44,m44,185.70411582655223,14112.695305881998,16362.64787001338
04:32:38.645424,MSR1,Swabbing,12.079361897190017,m14,m14,119.82701786111492,14834.506789616606,16370.724766539457
04:32:42.647889,MSR2,Swabbing,12.073212014503447,m44,m44,185.70411582655223,14112.695305881998,16374.721082027883
04:32:50.724786,MSR1,Move,2.7896296296296326,m14,m15,120.66390675000382,14834.506789616606,16373.514396169086
04:32:53.514416,MSR1,Calibrate,10.83729748226785,m15,m15,120.66390675000382,14834.506789616606,16384.351693651355
04:32:54.721102,MSR2,Move,2.7896296296296326,m44,m45,186.54100471544112,14112.695305881998,16377.510711657513
04:32:57.510732,MSR2,Calibrate,10.987008298500852,m45,m45,186.54100471544112,14112.695305881998,16388.497719956013
04:33:04.351714,MSR1,Wait,7.4667646752279495,m15,m15,120.66390675000382,14841.973554291833,16391.818458326583
04:33:08.497740,MSR2,Wait,8.7516999347337,m45,m45,186.54100471544112,14121.447005816732,16397.249419890748
04:33:11.818478,MSR1,Swabbing,12.019362742079448,m15,m15,120.66390675000382,14841.973554291833,16403.83782106866
04:33:17.249440,MSR2,Swabbing,12.04649576327679,m45,m45,186.54100471544112,14121.447005816732,16409.295915654024
04:33:23.837841,MSR1,Move,2.7896296296296326,m15,m16,121.50079563889271,14841.973554291833,16406.62745069829
04:33:26.627471,MSR1,Calibrate,11.239262199654132,m16,m16,121.50079563889271,14841.973554291833,16417.866712897947
04:33:29.295936,MSR2,Move,2.7896296296296326,m45,m46,187.37789360433,14121.447005816732,16412.085545283655
04:33:32.085566,MSR2,Calibrate,9.6222447111658,m46,m46,187.37789360433,14121.447005816732,16421.70778999482
04:33:37.866734,MSR1,Wait,4.558219374171182,m16,m16,121.50079563889271,14846.531773666005,16422.42493227212
04:33:41.707811,MSR2,Wait,6.958212883871533,m46,m46,187.37789360433,14128.405218700604,16428.66600287869
04:33:42.424953,MSR1,Swabbing,11.862570895937656,m16,m16,121.50079563889271,14846.531773666005,16434.287503168056
04:33:48.666024,MSR2,Swabbing,11.93514021759548,m46,m46,187.37789360433,14128.405218700604,16440.601143096286
04:33:54.287524,MSR1,Move,2.7896296296296264,m16,m17,122.3376845277816,14846.531773666005,16437.077132797687
04:33:57.077154,MSR1,Calibrate,10.448546515680974,m17,m17,122.3376845277816,14846.531773666005,16447.525679313367
04:34:00.601164,MSR2,Move,2.7896296296296264,m46,m47,188.2147824932189,14128.405218700604,16443.390772725917
04:34:03.390794,MSR2,Calibrate,10.900412549737258,m47,m47,188.2147824932189,14128.405218700604,16454.291185275655
04:34:07.525701,MSR1,Wait,7.354453449419709,m17,m17,122.3376845277816,14853.886227115425,16454.880132762788
04:34:14.291207,MSR2,Wait,9.706049071408437,m47,m47,188.2147824932189,14138.111267772012,16463.997234347065
04:34:14.880154,MSR1,Swabbing,12.037139683339815,m17,m17,122.3376845277816,14853.886227115425,16466.917272446128
04:34:23.997256,MSR2,Swabbing,11.980609546369772,m47,m47,188.2147824932189,14138.111267772012,16475.977843893434
04:34:26.917294,MSR1,Move,2.7896296296296264,m17,m18,123.1745734166705,14853.886227115425,16469.70690207576
04:34:29.706924,MSR1,Calibrate,10.775121569210695,m18,m18,123.1745734166705,14853.886227115425,16480.48202364497
04:34:35.977866,MSR2,Move,2.7896296296296264,m47,m48,189.0516713821078,14138.111267772012,16478.767473523065
04:34:38.767496,MSR2,Calibrate,11.695814384982196,m48,m48,189.0516713821078,14138.111267772012,16490.463287908045
04:34:40.482046,MSR1,Wait,8.172327334909593,m18,m18,123.1745734166705,14862.058554450334,16488.65435097988
04:34:48.654373,MSR1,Swabbing,12.026377000950731,m18,m18,123.1745734166705,14862.058554450334,16500.68072798083
04:34:50.463310,MSR2,Wait,6.3222576919132445,m48,m48,189.0516713821078,14144.433525463925,16496.78554559996
04:34:56.785568,MSR2,Swabbing,11.974397846813465,m48,m48,189.0516713821078,14144.433525463925,16508.759943446774
04:35:00.680750,MSR1,Park,2399.319272019169,m18,m18,123.1745734166705,17261.377826469503,18900.0
04:35:08.759965,MSR2,Park,1491.2400565532262,m48,m48,189.0516713821078,15635.67358201715,18000.0
05:00:00.000022,MSR2,Move,43.79451609568108,m48,m31,202.19002621081214,15635.67358201715,18043.79451609568
05:00:43.794538,MSR2,Calibrate,11.877011795887793,m31,m31,202.19002621081214,15635.67358201715,18055.67152789157
05:00:55.671550,MSR2,Wait,5.356366502839319,m31,m31,202.19002621081214,15641.02994851999,18061.027894394407
05:01:01.027917,MSR2,Swabbing,11.929788066042294,m31,m31,202.19002621081214,15641.02994851999,18072.95768246045
05:01:12.957705,MSR2,Move,2.7896296296296326,m31,m32,203.02691509970103,15641.02994851999,18075.74731209008
05:01:15.747335,MSR2,Calibrate,9.509571327104737,m32,m32,203.02691509970103,15641.02994851999,18085.256883417183
05:01:25.256906,MSR2,Wait,8.39866715118302,m32,m32,203.02691509970103,15649.428615671173,18093.65555056837
05:01:33.655573,MSR2,Swabbing,12.045909781651687,m32,m32,203.02691509970103,15649.428615671173,18105.70146035002
05:01:45.701483,MSR2,Move,2.7896296296296326,m32,m33,203.86380398858992,15649.428615671173,18108.491089979652
05:01:48.491113,MSR2,Calibrate,11.146356638873455,m33,m33,203.86380398858992,15649.428615671173,18119.637446618526
05:01:59.637470,MSR2,Wait,9.696527118333787,m33,m33,203.86380398858992,15659.125142789508,18129.33397373686
05:02:09.333997,MSR2,Swabbing,11.962290965244836,m33,m33,203.86380398858992,15659.125142789508,18141.296264702105
05:02:21.296288,MSR2,Move,2.7896296296296264,m33,m34,204.70069287747882,15659.125142789508,18144.085894331736
05:02:24.085918,MSR2,Calibrate,11.96820227940375,m34,m34,204.70069287747882,15659.125142789508,18156.05409661114
05:02:36.054120,MSR2,Wait,6.631915211020076,m34,m34,204.70069287747882,15665.757058000529,18162.68601182216
05:02:42.686035,MSR2,Swabbing,12.082082820320236,m34,m34,204.70069287747882,15665.757058000529,18174.76809464248
05:02:54.768118,MSR2,Move,2.7896296296296326,m34,m35,205.5375817663677,15665.757058000529,18177.557724272112
05:02:57.557748,MSR2,Calibrate,9.661825853250498,m35,m35,205.5375817663677,15665.757058000529,18187.219550125363
